"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"1","NDAR_INV005V6D2C","baseline_year_1_arm_1",0.2715
"2","NDAR_INV007W6H7B","baseline_year_1_arm_1",0.5299
"3","NDAR_INV00BD7VDC","baseline_year_1_arm_1",0.1254
"4","NDAR_INV00CY2MDM","baseline_year_1_arm_1",0.5404
"5","NDAR_INV00NPMHND","baseline_year_1_arm_1",0.0525
"6","NDAR_INV00R4TXET","baseline_year_1_arm_1",0.2202
"7","NDAR_INV00HEV6HB","baseline_year_1_arm_1",0.9078
"8","NDAR_INV00J52GPG","baseline_year_1_arm_1",0.3563
"9","NDAR_INV00LH735Y","baseline_year_1_arm_1",0.7192
"10","NDAR_INV00LJVZK2","baseline_year_1_arm_1",0.5947
"11","NDAR_INV00U4FTRU","baseline_year_1_arm_1",0.8225
"12","NDAR_INV00UMK5VC","baseline_year_1_arm_1",0.906
"13","NDAR_INV0191C80U","baseline_year_1_arm_1",0.3677
"14","NDAR_INV019DXLU4","baseline_year_1_arm_1",0.6049
"15","NDAR_INV01AJ15N9","baseline_year_1_arm_1",0.1642
"16","NDAR_INV01D03VR7","baseline_year_1_arm_1",0.9207
"17","NDAR_INV01ELX9L6","baseline_year_1_arm_1",0.873
"18","NDAR_INV01NAYMZH","baseline_year_1_arm_1",0.1606
"19","NDAR_INV01RGTWD2","baseline_year_1_arm_1",0.4201
"20","NDAR_INV01TXCDJN","baseline_year_1_arm_1",0.3712
"21","NDAR_INV01Z8HAPV","baseline_year_1_arm_1",0.1706
"22","NDAR_INV00X2TBWJ","baseline_year_1_arm_1",0.1781
"23","NDAR_INV010ZM3H9","baseline_year_1_arm_1",0.0039
"24","NDAR_INV014RTM1V","baseline_year_1_arm_1",0.2434
"25","NDAR_INV0182J779","baseline_year_1_arm_1",0.7112
"26","NDAR_INV028WCTG6","baseline_year_1_arm_1",0.7532
"27","NDAR_INV02EBX0JJ","baseline_year_1_arm_1",0.2816
"28","NDAR_INV02H7G2T6","baseline_year_1_arm_1",0.1566
"29","NDAR_INV02JXJUZG","baseline_year_1_arm_1",0.1492
"30","NDAR_INV02RCED7D","baseline_year_1_arm_1",0.4498
"31","NDAR_INV02UVMTY7","baseline_year_1_arm_1",0.0272
"32","NDAR_INV02WP3TP6","baseline_year_1_arm_1",0.6371
"33","NDAR_INV030W95VP","baseline_year_1_arm_1",0.5364
"34","NDAR_INV030X9ZNH","baseline_year_1_arm_1",0.5263
"35","NDAR_INV0314RN9P","baseline_year_1_arm_1",0.4189
"36","NDAR_INV021403LF","baseline_year_1_arm_1",0.3797
"37","NDAR_INV021N0FLH","baseline_year_1_arm_1",0.1726
"38","NDAR_INV022ZVCT8","baseline_year_1_arm_1",0.2631
"39","NDAR_INV028D3ELL","baseline_year_1_arm_1",0.735
"40","NDAR_INV0387TP8R","baseline_year_1_arm_1",0.1858
"41","NDAR_INV03BDCNWM","baseline_year_1_arm_1",0.077
"42","NDAR_INV03YU08FA","baseline_year_1_arm_1",0.2395
"43","NDAR_INV040B4TRC","baseline_year_1_arm_1",0.5196
"44","NDAR_INV042UJKFB","baseline_year_1_arm_1",0.0344
"45","NDAR_INV04BFG4JM","baseline_year_1_arm_1",0.2548
"46","NDAR_INV04CLBZAD","baseline_year_1_arm_1",0.7243
"47","NDAR_INV04EUBGTM","baseline_year_1_arm_1",0.2796
"48","NDAR_INV04GAB2AA","baseline_year_1_arm_1",0.0848
